id,order,suborder,family,subfamily,genus,in.guild,species,group,in.code,plant,fl.fam,pl.code,date,foundation,microh,plot,repl
1,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150710,s,w,14,3
2,Lepidoptera,Rhopalocera,Lycaenidae,Polyommatinae,Polyommatus,pollinator,icarus,butterfly,polica,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150715,s,o,14,4
3,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,w,14,2
4,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,pollinator,terrestris lusitanicus,bumblebee,bomlus,Leucanthemopsis pectinata,Asteraceae,leupec,20150707,s,o,13,1
5,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,bee,spipan,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,a,13,2
6,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,a,2,2
7,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150711,s,w,3,3
8,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150716,h,o,8,5
9,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,parasitoid,spA,,braspa,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,9,1
10,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,herbivore,sp,,galesp,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,9,1
11,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,w,2,5
12,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Sideritis glacialis,Lamiaceae,sidgla,20150724,h,o,5,8
13,Lepidoptera,Rhopalocera,Nymphalidae,Nymphalinae,Nymphalis,pollinator,urticae,butterfly,nymurt,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150717,h,a,1,5
14,Diptera,Nematocera,Bibionidae,Bibioninae,Dilophus,scavenger,femoratus,,dilfem,Jasione amethystina,Campanulaceae,jasame,20150710,h,w,11,3
15,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,sp,bee,megasp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150708,h,o,7,2
16,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Sideritis glacialis,Lamiaceae,sidgla,20150717,h,o,5,5
17,Diptera,Brachycera,Tabanidae,Tabaninae,Haematopota,predator,sp,,haemsp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150724,h,a,7,8
18,Diptera,Brachycera,Sarcophagidae,Paramacronychiinae,Wohlfahrtia,pollinator,bella,fly,wohbel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150710,h,a,12,3
19,Diptera,Brachycera,Muscidae,Muscinae,Neomyia,pollinator,cornicina,fly,neocor,Hormathophylla spinosa,Brassicaceae,horspi,20150719,s,a,8,6
20,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,pollinator,culminum,fly,thrcul,Leucanthemopsis pectinata,Asteraceae,leupec,20150708,s,o,13,2
21,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spB,herbivore,spB,,malspb,Leucanthemopsis pectinata,Asteraceae,leupec,20150708,s,o,13,2
22,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Hormathophylla spinosa,Brassicaceae,horspi,20150714,s,w,2,4
23,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,herbivore,sp,,galesp,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,1,1
24,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,herbivore,sp,,galesp,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,1,1
25,Hymenoptera,parasitica,Braconidae,Cheloninae,Chelonus,parasitoid,spA,,chespa,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150716,h,a,8,5
26,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,pollinator,montanum,bee,antmon,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150727,s,o,14,9
27,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spB,predator,spB,,malspb,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150714,h,w,13,4
28,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,a,3,2
29,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,w,6,5
30,Diptera,Brachycera,Chloropidae,sp,sp,herbivore,sp,,chlsp,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,w,6,5
31,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,13,1
32,Diptera,Brachycera,Bombyliidae,spB,spB,pollinator,spB,fly,bomspb,Jasione amethystina,Campanulaceae,jasame,20150706,h,w,3,1
33,Hymenoptera,Aculeata,Megachilidae,Malachiinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Jasione amethystina,Campanulaceae,jasame,20150714,s,w,11,4
34,Hymenoptera,Aculeata,Crabronidae,sp,sp,predator,sp,,crabsp,Jasione amethystina,Campanulaceae,jasame,20150710,h,w,3,3
35,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,a,3,1
36,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150717,h,a,7,5
37,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150710,h,w,11,3
38,Diptera,Brachycera,Tachinidae,Exoristinae,Meigenia,parasitoid,majuscula,,meimaj,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150706,h,w,13,1
39,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,scavenger,neocynipsea,,sepneo,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150715,h,w,1,4
40,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,pollinator,agilissima,bee,andagi,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,a,9,5
41,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,a,1,2
42,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,2,1
43,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,a,8,1
44,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150708,h,o,2,2
45,Diptera,Brachycera,Bombyliidae,spB,spB,pollinator,spB,fly,bomspb,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,a,11,2
46,Hymenoptera,Aculeata,Vespidae,Eumeninae,Ancistrocerus,predator,biphaleratus,,ancbip,Hormathophylla spinosa,Brassicaceae,horspi,20150724,s,a,13,8
47,Hymenoptera,Aculeata,Formicidae,sp,sp,herbivore,sp,,formsp,Hormathophylla spinosa,Brassicaceae,horspi,20150724,s,a,13,8
48,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,pollinator,terrestris lusitanicus,bumblebee,bomlus,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150708,h,o,9,2
49,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Jasione amethystina,Campanulaceae,jasame,20150709,h,w,11,2
50,Diptera,Brachycera,Rhinophoridae,sp,Phyto,parasitoid,sp,,phytsp,Hormathophylla spinosa,Brassicaceae,horspi,20150710,s,a,1,3
51,Diptera,Brachycera,Syrphidae,Eristalinae,Eumerus,pollinator,tarsalis,hoverfly,eumtar,Jasione amethystina,Campanulaceae,jasame,20150710,h,o,2,3
52,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,pollinator,cephalotes,bee,pancep,Leucanthemopsis pectinata,Asteraceae,leupec,20150727,s,o,13,9
53,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Leucanthemopsis pectinata,Asteraceae,leupec,20150727,s,o,13,9
54,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150717,s,w,14,5
55,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,2,1
56,Diptera,Brachycera,Tachinidae,Tachininae,Macquartia,parasitoid,tessellum,,mactes,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,w,10,2
57,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,w,10,2
58,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,a,12,1
59,Hymenoptera,Aculeata,Formicidae,sp,sp,herbivore,sp,,formsp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,w,2,2
